Ranking,Username,Subscribers,Uploads,Views,Country
1.0,MrBeast,336000000.0,838.0,66853633536.0,US
2.0,T-Series,281000000.0,22313.0,277242795553.0,IN
3.0,Cocomelon-Nursery Rhymes,186000000.0,1370.0,194361752276.0,US
5.0,Set India,180000000.0,148727.0,172709029653.0,IN
6.0,Vlad & Niki,129000000.0,796.0,99291499729.0,US
7.0,Kids Diana Show,128000000.0,1282.0,108987929584.0,US
8.0,Like Nastya,124000000.0,918.0,108128507997.0,US
10.0,Zee Music Company,112000000.0,12787.0,72091345721.0,IN
11.0,PewDiePie,110000000.0,4800.0,29453929047.0,JP
13.0,Stokes Twins,102000000.0,335.0,16139307959.0,US
14.0,Goldmines,101000000.0,9421.0,29936365183.0,IN
15.0,Sony SAB,97700000.0,94136.0,123172828384.0,IN
16.0,Blackpink,95400000.0,603.0,37502831600.0,KR
17.0,ChuChu Tv,94300000.0,832.0,53265415943.0,IN
19.0,Zee TV,86200000.0,190672.0,97566987807.0,IN
20.0,5-Minute Crafts,81100000.0,7391.0,27907581110.0,US
21.0,BANGTANTY,79400000.0,2674.0,24161704347.0,KR
22.0,Baby Shark - Pinkfong Kids Song,79300000.0,3399.0,47497893810.0,US
23.0,Colors TV,77600000.0,179052.0,76490031656.0,IN
24.0,HYBE LABELS,76200000.0,2253.0,37279267924.0,KR
26.0,Justin Bieber,74400000.0,249.0,33636731466.0,CA
27.0,KIMPRO,73300000.0,3580.0,56715455039.0,KR
28.0,T-Series Bhakti Sagar,72600000.0,29140.0,37185631965.0,IN
29.0,UR.Cristiano,71700000.0,80.0,721228815.0,PT
30.0,A4,71500000.0,971.0,31487602900.0,US
31.0,Tips Official,71000000.0,6859.0,43171245557.0,IN
32.0,Shemaroo Filmi Gaane,70300000.0,8988.0,30982452123.0,IN
33.0,Alan Chikin Chow,70000000.0,1413.0,48935762064.0,US
34.0,ZAMZAM ELECTRONIC TRADING,69400000.0,19224.0,34237265905.0,AE
35.0,Aaj Tak,68700000.0,415087.0,35552274523.0,IN
36.0,Toys & Colors,68300000.0,1396.0,82391801354.0,US
37.0,Canal Kondzilla,67500000.0,3014.0,38923694296.0,BR
38.0,El Reino Infantil,67100000.0,1667.0,64042650819.0,AR
39.0,Infobells-Hindi,66800000.0,731.0,39661413683.0,IN
40.0,Wave Music,63700000.0,20481.0,43980109554.0,IN
42.0,HAR PAL GEO,62900000.0,152148.0,64184880416.0,PK
43.0,MovieClips,62900000.0,41711.0,64184220639.0,US
44.0,Sony Music India,62900000.0,5941.0,32518871280.0,IN
45.0,YRF,62900000.0,4333.0,44702357371.0,IN
46.0,KL BRO Biju R ithvik,62800000.0,2873.0,54385171265.0,IN
47.0,Mark Rober,60800000.0,187.0,8956227211.0,US
48.0,Dude Perfect,60600000.0,463.0,18005895732.0,US
49.0,Taylor Swift,60400000.0,285.0,37663171636.0,US
50.0,Fede Vigevani,60000000.0,1435.0,17636583860.0,MX
51.0,ARY Digital HD,59900000.0,155545.0,59355707231.0,PK
